Role,Domain,Aliases,Description,Skills,Education,Experience_Min,Experience_Max,Keywords
Production Engineer,Mechanical Engineering,Manufacturing Engineer,"Improve manufacturing throughput, process efficiency, and shop-floor performance.","autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, production planning, lean manufacturing, process improvement",btech mechanical engineering|be mechanical engineering|diploma mechanical,1,12,"production systems, mechanical components, maintenance, process engineering, production line, manufacturing process, shop floor"
Maintenance Engineer,Mechanical Engineering,Plant Maintenance Engineer,Maintain mechanical equipment reliability and coordinate repairs or preventive activities.,"autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, preventive maintenance, troubleshooting, mechanical systems, root cause analysis",btech mechanical engineering|be mechanical engineering|diploma mechanical,1,12,"production systems, mechanical components, maintenance, process engineering, equipment maintenance, breakdown analysis, reliability"
CAD Engineer,Mechanical Engineering,Mechanical CAD Engineer,"Produce CAD models, technical drawings, and documentation for engineering teams.","autocad, solidworks, mechanical design, manufacturing, thermodynamics, quality control, drafting, 3d modeling, engineering drawings",btech mechanical engineering|be mechanical engineering|diploma mechanical,0,10,"production systems, mechanical components, maintenance, process engineering, cad drawings, 3d models, technical drafting"
Civil Engineer,Civil Engineering,Site Engineer,"Support civil works planning, execution, documentation, and on-site coordination.","autocad, estimation, site supervision, project planning, quantity surveying, construction management",btech civil engineering|be civil engineering|diploma civil,0,12,"construction site, structural works, boq, contracts, site execution, construction planning, civil works"
Quantity Surveyor,Civil Engineering,QS Engineer,"Estimate project quantities and costs, prepare BOQs, and support billing and contracts.","autocad, estimation, site supervision, project planning, quantity surveying, construction management, boq, contracts, cost control",btech civil engineering|be civil engineering|diploma civil,1,12,"construction site, structural works, boq, contracts, project costing, contract quantities"
Planning Engineer,Civil Engineering,Project Planning Engineer,"Manage construction schedules, resource plans, and progress reporting.","autocad, estimation, site supervision, project planning, quantity surveying, construction management, primavera, ms project, scheduling, reporting",btech civil engineering|be civil engineering|diploma civil,1,12,"construction site, structural works, boq, contracts, project schedule, construction planning, progress monitoring"
Structural Engineer,Civil Engineering,Design Structural Engineer,Design and review structural systems for buildings and infrastructure projects.,"autocad, estimation, site supervision, project planning, quantity surveying, construction management, structural analysis, staad pro, design calculations, concrete design",btech civil engineering|be civil engineering|diploma civil,1,12,"construction site, structural works, boq, contracts, structural design, load calculations, building structures"
Electrical Engineer,Electrical & Electronics Engineering,Power Systems Engineer,"Design, maintain, and troubleshoot electrical systems and equipment.","circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, maintenance",btech electrical engineering|be electronics engineering|diploma electrical,0,12,"maintenance, electronics, embedded systems, industrial automation, electrical maintenance, power systems, control panels"
Electronics Engineer,Electrical & Electronics Engineering,Embedded Electronics Engineer,"Develop and test electronic circuits, boards, and embedded hardware systems.","circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, electronics, pcb, testing, embedded systems",btech electrical engineering|be electronics engineering|diploma electrical,0,12,"maintenance, electronics, embedded systems, industrial automation, circuit testing, electronics design, embedded hardware"
PLC Automation Engineer,Electrical & Electronics Engineering,Automation Engineer,"Build and maintain industrial automation, controls, and PLC/SCADA systems.","circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, scada, industrial automation",btech electrical engineering|be electronics engineering|diploma electrical,1,12,"maintenance, electronics, embedded systems, industrial automation, control systems, plc programming"
Embedded Systems Engineer,Electrical & Electronics Engineering,Firmware Engineer,Develop firmware and embedded system software for devices and control systems.,"circuit design, electrical systems, autocad electrical, plc, power systems, troubleshooting, embedded c, microcontrollers, debugging, rtos",btech electrical engineering|be electronics engineering|diploma electrical,1,12,"maintenance, electronics, embedded systems, industrial automation, embedded software, device firmware, microcontrollers"
Quality Engineer,Manufacturing & Quality,QA Manufacturing Engineer,"Ensure product and process quality through inspection, analysis, and corrective action.","quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, iso standards",mechanical engineering|industrial engineering|production engineering,0,12,"production line, quality systems, continuous improvement, operations excellence, inspection, defect prevention"
Process Engineer,Manufacturing & Quality,Industrial Process Engineer,"Optimize manufacturing processes, productivity, and operational performance.","quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, production planning",mechanical engineering|industrial engineering|production engineering,1,12,"production line, quality systems, continuous improvement, operations excellence, process optimization, manufacturing improvement, efficiency"
Industrial Engineer,Manufacturing & Quality,Operations Excellence Engineer,"Improve systems, layouts, productivity, and throughput in manufacturing environments.","quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, industrial engineering, time study, lean, layout planning, continuous improvement",mechanical engineering|industrial engineering|production engineering,1,12,"production line, quality systems, continuous improvement, operations excellence, productivity improvement, work measurement, layout planning"
Quality Manager,Manufacturing & Quality,Quality Lead,"Lead quality teams, audits, and corrective action systems across production operations.","quality assurance, lean manufacturing, six sigma, process improvement, root cause analysis, inspection, quality management, audit, process control, team leadership, customer quality",mechanical engineering|industrial engineering|production engineering,4,15,"production line, quality systems, continuous improvement, operations excellence, quality leadership, audits, compliance"
Content Writer,Media & Content,Copywriter,"Write blogs, web pages, campaign copy, and long-form content aligned to brand and search goals.","content writing, editing, storytelling, seo, research, social media",journalism|mass communication|english|media studies,0,10,"editorial, content production, publishing, communication, editorial writing, web content, copy"
Editor,Media & Content,Content Editor,"Review and refine written content for clarity, consistency, and publication quality.","content writing, editing, storytelling, seo, proofreading, content strategy, style guides, publishing, copy editing, headline writing",journalism|mass communication|english|media studies,1,12,"editorial content, content production, digital publishing, magazine editing, newsroom, editorial review, language quality, copy desk"
Journalist,Media & Content,Reporter,"Gather information, report stories, and produce news or feature content.","content writing, editing, storytelling, seo, research, social media, interviewing, news writing, fact checking, communication",journalism|mass communication|english|media studies,0,10,"editorial, content production, publishing, communication, reporting, story development, news coverage"
Social Media Manager,Media & Content,Community Manager,"Manage social channels, content calendars, audience engagement, and performance insights.","content writing, editing, storytelling, seo, research, social media, social media marketing, content planning, analytics, copywriting, community engagement",journalism|mass communication|english|media studies,1,12,"editorial, content production, publishing, communication, social content, community management, engagement metrics"
Policy Analyst,Government & Public Policy,Public Policy Analyst,"Analyze public policy issues, prepare research briefs, and support evidence-based recommendations.","policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, presentation",public policy|political science|economics|law,0,12,"public administration, government schemes, regulatory analysis, policy implementation, policy analysis, research briefs, public programs"
Program Officer,Government & Public Policy,Development Program Officer,"Coordinate development or public programs, implementation tracking, and reporting.","policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, program management, stakeholder coordination, monitoring and evaluation",public policy|political science|economics|law,1,12,"public administration, government schemes, regulatory analysis, policy implementation, program implementation, field coordination, monitoring"
Public Affairs Associate,Government & Public Policy,Government Relations Associate,"Support public affairs, government relations, and policy communication workstreams.","policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, communication, policy tracking",public policy|political science|economics|law,0,10,"public administration, government schemes, regulatory analysis, policy implementation, public affairs, government communication, stakeholder outreach"
Research Fellow,Government & Public Policy,Policy Research Fellow,Conduct policy-focused research and produce analytical reports for think tanks or institutions.,"policy research, report writing, data analysis, stakeholder engagement, documentation, program evaluation, research, public policy",public policy|political science|economics|law,0,10,"public administration, government schemes, regulatory analysis, policy implementation, policy research, analysis papers"
E commerce Specialist,Retail & E-commerce,Marketplace Executive,"Manage online product listings, pricing, inventory, and marketplace performance.","merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, e commerce, catalog management",bba|commerce|mba retail|business administration,0,10,"online retail, catalog, pricing, order management, marketplace listings"
Retail Operations Executive,Retail & E-commerce,Store Operations Executive,"Support retail operations, store processes, stock management, and service delivery.","merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, operations management, reporting",bba|commerce|mba retail|business administration,0,10,"online retail, catalog, pricing, order management, store operations, inventory control, retail processes"
Merchandiser,Retail & E-commerce,Retail Merchandiser,"Plan assortment, inventory, and merchandising execution across retail channels.","merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, inventory planning, pricing",bba|commerce|mba retail|business administration,1,12,"online retail, catalog, pricing, order management, product assortment, merchandising plans, stock movement"
Category Analyst,Retail & E-commerce,Category Executive,"Analyze category performance, pricing, and assortment to improve sales outcomes.","merchandising, inventory management, customer service, excel, vendor coordination, marketplace operations, data analysis, pricing, market research, catalog analysis",bba|commerce|mba retail|business administration,0,10,"online retail, catalog, pricing, order management, category insights, pricing analysis, assortment review"
Hotel Operations Executive,Hospitality & Travel,Front Office Executive,"Manage guest check-in, front office processes, and service operations in hospitality settings.","guest relations, reservation systems, operations management, communication, customer service, billing",hotel management|hospitality|travel tourism,0,10,"hotel operations, front office, service delivery, travel planning, guest services"
Travel Consultant,Hospitality & Travel,Travel Advisor,"Advise customers on itineraries, bookings, and travel arrangements.","guest relations, reservation systems, operations management, communication, customer service, travel planning, itinerary planning",hotel management|hospitality|travel tourism,0,10,"hotel operations, front office, service delivery, travel planning, travel bookings, itineraries, customer travel support"
Guest Relations Manager,Hospitality & Travel,Hospitality Guest Relations Manager,Lead guest experience initiatives and resolve service issues to improve satisfaction.,"guest relations, reservation systems, operations management, communication, customer service, service recovery, team coordination",hotel management|hospitality|travel tourism,1,12,"hotel operations, front office, service delivery, travel planning, guest experience, hospitality management"
Events Coordinator,Hospitality & Travel,Hospitality Events Executive,"Coordinate event logistics, venue preparation, vendors, and execution activities.","guest relations, reservation systems, operations management, communication, customer service, event planning, vendor coordination, budget tracking",hotel management|hospitality|travel tourism,0,10,"hotel operations, front office, service delivery, travel planning, events planning, venue coordination, event execution"
Data Engineer,Software Engineering,ETL Developer|Pipeline Engineer,"Design and build data pipelines, ETL workflows, and data infrastructure that enable reliable analytics and machine learning.","python, sql, spark, kafka, airflow, data pipelines, etl, cloud storage, hadoop, data modeling, dbt, redshift",btech computer science|be computer engineering|bca|mca|bsc computer science,0,12,"data infrastructure, pipeline design, batch processing, real time data, data warehousing"
Embedded Software Engineer,Software Engineering,Firmware Engineer|Embedded Developer,"Develop firmware and low-level software for microcontrollers, IoT devices, and real-time embedded systems.","c, c++, rtos, embedded linux, firmware, microcontrollers, iot, debugging, hardware interfaces, serial communication, memory management",btech computer science|btech electronics|be embedded systems|mtech,0,12,"embedded systems, firmware, iot devices, hardware software integration, low level programming"
Platform Engineer,Software Engineering,Developer Platform Engineer|Internal Tools Engineer,"Build and maintain internal developer platforms, tooling, and infrastructure abstractions to improve engineering productivity.","python, kubernetes, helm, terraform, ci cd, internal developer platforms, backstage, observability, cloud, api gateways",btech computer science|be computer engineering|bca|mca,2,12,"developer experience, platform tooling, internal tools, infrastructure automation, developer productivity"
Security Engineer,Software Engineering,AppSec Engineer|DevSecOps Engineer,"Embed security practices into software development cycles, conduct code reviews, and implement secure-by-design systems.","python, devsecops, sast, dast, owasp, code review, threat modeling, vulnerability scanning, ci cd, secure sdlc",btech computer science|be computer engineering|bca|mca|cybersecurity,1,12,"secure coding, application security, vulnerability management, security testing, devsecops"
Technical Lead,Software Engineering,Tech Lead|Engineering Lead,"Lead engineering teams technically, define code standards, guide architecture decisions, and mentor junior developers.","python, java, system design, code review, mentoring, architecture, agile, project planning, stakeholder communication, performance tuning",btech computer science|be computer engineering|mca,6,18,"technical leadership, software architecture, team mentorship, code quality, delivery management, engineering leadership, system design"
Game Developer,Software Engineering,Unity Developer|Unreal Developer,"Design and develop interactive game experiences across platforms including mobile, PC, and consoles.","unity, unreal engine, c++, c#, game physics, graphics programming, game ai, multiplayer networking, shader programming",btech computer science|be computer engineering|bsc computer science|game design,0,10,"game development, interactive experiences, game design, rendering, simulation"
Data Scientist,Artificial Intelligence,Applied Data Scientist|ML Data Scientist,"Build predictive models, run experiments, and translate data into actionable insights using statistical and machine learning methods.","python, machine learning, statistics, deep learning, scikit-learn, pandas, numpy, feature engineering, model evaluation, sql, experimentation",btech computer science|mtech ai|msc data science|msc statistics|phd,1,12,"predictive modeling, statistical analysis, experimentation, machine learning research, decision science"
Generative AI Engineer,Artificial Intelligence,LLM Engineer|GenAI Developer,"Build applications leveraging large language models, RAG pipelines, and generative AI APIs for production use cases.","python, llm, langchain, prompt engineering, rag, vector databases, openai api, fine tuning, huggingface, transformers",btech computer science|mtech ai|msc ai|msc data science|mca,1,12,"generative ai, llm applications, conversational ai, rag systems, ai product development"
AI Research Scientist,Artificial Intelligence,Research Scientist AI|Deep Learning Researcher,"Conduct fundamental and applied AI research, publish findings, and develop novel algorithms and model architectures.","python, deep learning, pytorch, research, paper writing, experimentation, statistics, reinforcement learning, mathematical modeling",phd computer science|phd machine learning|mtech ai|msc data science,3,15,"fundamental ai research, novel architectures, reinforcement learning, model interpretability, academic publishing"
Robotics Engineer,Artificial Intelligence,ROS Engineer|Autonomous Systems Engineer,"Design and develop robotic systems, integrate sensors, implement control algorithms, and enable autonomous behaviour.","python, ros, embedded systems, computer vision, control systems, kinematics, sensor fusion, c++, simulation",btech computer science|btech electronics|mtech robotics|btech mechanical,1,12,"robotics, autonomous systems, robot programming, motion planning, human robot interaction"
Speech Recognition Engineer,Artificial Intelligence,ASR Engineer|Voice AI Engineer,Build and optimize automatic speech recognition and speech synthesis systems for voice-enabled products.,"python, deep learning, speech processing, kaldi, wav2vec, asr, pytorch, audio features, hmm, nlp",btech computer science|mtech ai|msc data science|mtech signal processing,1,12,"speech ai, voice technology, asr systems, speech synthesis, audio intelligence"
Marketing Analyst,Data Science & Analytics,Digital Analytics Analyst|Campaign Analyst,"Measure marketing performance, build attribution models, and generate insights that optimise campaign ROI and growth.","python, sql, google analytics, excel, a/b testing, attribution modeling, cohort analysis, tableau, marketing metrics",bsc statistics|bba|mba|msc data science,0,10,"marketing measurement, campaign analytics, customer segmentation, growth analytics, funnel analysis"
Product Analyst,Data Science & Analytics,Growth Analyst|User Analytics Analyst,"Analyse product usage, define success metrics, run experiments, and translate user behaviour data into product decisions.","python, sql, excel, product analytics, mixpanel, amplitude, a/b testing, cohort analysis, user behavior analysis",bsc statistics|btech|msc data science|mba,0,10,"product metrics, user journey analysis, experimentation, funnel optimization, feature analysis"
Cloud Architect,Cloud & Infrastructure,Solutions Architect Cloud|Enterprise Cloud Architect,"Design cloud-native architectures, define migration strategies, and govern multi-cloud environments for enterprise workloads.","aws, azure, gcp, solution architecture, terraform, networking, security, cost optimization, cloud migration, microservices, well architected framework",btech computer science|be information technology|mca|mtech,5,15,"cloud strategy, solution architecture, multi cloud, enterprise cloud adoption, cloud security"
Database Administrator,Cloud & Infrastructure,DBA|Database Engineer,"Manage relational and NoSQL databases, ensure performance, availability, backup integrity, and data security.","mysql, postgresql, oracle, sql server, query optimization, backup recovery, replication, monitoring, linux, performance tuning",btech computer science|be information technology|bca|mca,1,12,"database management, performance optimization, data availability, storage management, database security"
Infrastructure Engineer,Cloud & Infrastructure,IT Infrastructure Engineer|Systems Engineer,"Plan, deploy, and manage on-premise and hybrid infrastructure including servers, storage, networking, and virtualisation.","linux, networking, vmware, storage, servers, cloud platforms, monitoring, scripting, disaster recovery, capacity planning",btech computer science|be information technology|bca|mca,1,12,"infrastructure operations, data centers, virtualization, server management, reliability"
Security Operations Engineer,Cloud & Infrastructure,SecOps Engineer|Infrastructure Security Engineer,"Secure cloud and on-premise infrastructure, monitor for threats, and implement security controls across systems.","linux, siem, firewalls, ids ips, cloud security, iam, compliance, incident response, vulnerability scanning, scripting",btech computer science|cybersecurity|be information technology|mca,1,12,"cloud security, infrastructure hardening, compliance, threat monitoring, security automation"
Cloud Security Engineer,Cybersecurity,Cloud Security Specialist|AWS Security Engineer,"Implement and manage security controls across cloud environments ensuring compliance, identity governance, and data protection.","aws security, azure security, cspm, iam, encryption, zero trust, kubernetes security, compliance, terraform, siem",btech computer science|cybersecurity|information security|mca,2,12,"cloud security posture, zero trust, cloud compliance, infrastructure security, devsecops"
Digital Forensics Analyst,Cybersecurity,Forensic Analyst|Incident Response Analyst,"Investigate cyber incidents, analyse digital evidence, reverse-engineer malware, and support legal proceedings.","digital forensics, malware analysis, memory forensics, network forensics, incident response, autopsy, volatility, chain of custody",btech computer science|cybersecurity|information security|forensic science,1,12,"digital investigation, malware analysis, incident forensics, cybercrime investigation, threat attribution"
Security Architect,Cybersecurity,Enterprise Security Architect|CISO Advisor,"Design end-to-end enterprise security architecture, define frameworks, and align security strategy with business objectives.","security architecture, threat modeling, zero trust, network security, cloud security, iam, encryption, risk management, cissp, enterprise security",btech computer science|cybersecurity|mtech|information security,5,15,"enterprise security design, security frameworks, architecture review, risk mitigation, security strategy"
Threat Intelligence Analyst,Cybersecurity,CTI Analyst|Threat Hunter,"Collect, analyse, and operationalise cyber threat intelligence to proactively identify adversaries and mitigate risks.","threat intelligence, osint, mitre att&ck, malware analysis, ioc analysis, siem, python, threat hunting, dark web monitoring",btech computer science|cybersecurity|information security|mca,1,12,"threat landscape, adversary tracking, ioc feeds, threat hunting, strategic intelligence"
Corporate Finance Analyst,Finance & Accounting,M&A Analyst|Investment Banking Analyst,"Support corporate finance transactions including M&A, fundraising, and capital structure analysis with modelling and research.","financial modeling, dcf valuation, m&a analysis, excel, powerpoint, pitch decks, capital markets, equity research",mba finance|ca|cfa|bcom|bba finance,0,10,"corporate finance, mergers acquisitions, capital structure, fundraising, strategic finance"
Treasury Analyst,Finance & Accounting,Cash Management Analyst|FX Analyst,"Manage organisational liquidity, foreign exchange exposure, banking relationships, and short-term investments.","cash management, forex, liquidity management, banking relationships, investment, hedging, treasury systems, financial reporting",mba finance|ca|bcom|bba finance,0,10,"cash flow management, foreign exchange, working capital, treasury operations, liquidity planning"
Financial Controller,Finance & Accounting,Finance Controller|Head of Accounting,"Oversee financial reporting, internal controls, compliance, budgeting, and audit readiness for the organisation.","accounting, financial reporting, ifrs, gaap, budgeting, audit, internal controls, erp, consolidation, variance analysis",ca|mba finance|cpa|cma|bcom,5,15,"financial controls, statutory reporting, budgeting, audit readiness, accounting standards"
Credit Analyst,Finance & Accounting,Credit Risk Analyst|Lending Analyst,"Evaluate creditworthiness of borrowers, build credit models, and recommend risk ratings for lending decisions.","credit assessment, financial analysis, risk rating, loan structuring, excel, financial modeling, banking, credit risk frameworks",mba finance|ca|cfa|bcom|bba finance,0,10,"credit risk, loan underwriting, credit portfolio, banking, counterparty risk"
Product Designer,Design & UX,UX/UI Product Designer|Digital Product Designer,"Own end-to-end product design from discovery through delivery, creating experiences grounded in user research and systems thinking.","figma, user research, wireframing, prototyping, design systems, usability testing, interaction design, visual design, accessibility",bdes|mdes|btech computer science|bfa|diploma design,1,12,"product design, end to end design, design systems, user centered design, design thinking"
Design Researcher,Design & UX,UX Researcher|User Researcher,"Plan and conduct qualitative and quantitative research to uncover user needs, behaviours, and pain points that inform design.","user research, qualitative methods, interviews, usability testing, synthesis, affinity mapping, survey design, persona development",bdes|mdes|psychology|bba|human computer interaction,1,10,"user research, behavioral insights, design discovery, empathy mapping, usability"
Brand Designer,Design & UX,Visual Identity Designer|Graphic Brand Designer,"Develop visual brand identities, design systems, and communication assets that express a brand personality consistently.","branding, visual identity, typography, color theory, logo design, brand guidelines, illustrator, photoshop, packaging design",bdes|bfa|graphic design diploma|mdes,0,10,"brand identity, visual communication, brand strategy, logo design, typography"
Design Lead,Design & UX,Head of Design|Design Manager,"Lead and mentor design teams, set design standards, drive design strategy, and collaborate with product and engineering leadership.","figma, design strategy, team leadership, stakeholder management, design systems, product thinking, mentoring, interaction design",bdes|mdes|bfa|human computer interaction,5,15,"design leadership, design ops, cross functional collaboration, design culture, team building"
Corporate Trainer,Education & Research,L&D Trainer|Training Facilitator,"Design and deliver training programmes for professional development, onboarding, and skill-building across organisations.","training delivery, learning design, lms, facilitation, content development, needs analysis, adult learning, feedback",mba|pgdm|ma education|btech|psychology,1,12,"professional development, employee learning, training programs, workshop facilitation, capability building"
Curriculum Developer,Education & Research,Instructional Content Developer|Learning Designer,Design structured curricula and learning content aligned with learning objectives for academic and corporate programmes.,"curriculum design, bloom's taxonomy, learning objectives, content authoring, articulate, lms, assessment design, instructional design",ma education|bed|msc|instructional design certification,1,10,"curriculum design, instructional strategy, learning outcomes, educational content, training modules"
EdTech Product Specialist,Education & Research,Learning Technology Specialist|EdTech Analyst,"Manage and optimise education technology platforms, integrate learning tools, and improve digital learning experiences.","lms platforms, instructional design, product management, user research, e-learning, content strategy, analytics, stakeholder management",mba|btech|ma education|bca,1,10,"education technology, e-learning, edtech products, learning platforms, digital education"
University Lecturer,Education & Research,College Professor|Academic Faculty,"Deliver lectures, guide projects, support examinations, mentor students, and contribute to research, accreditation, and departmental academic activities in colleges and universities.","lecture delivery, research, academic writing, course design, grading, student mentoring, subject expertise, academic publishing, classroom management, project supervision, presentation",phd|mphil|mtech|msc|mca|ma,2,22,"university lecturer, college professor, academic faculty, higher education, teaching, publishing, student development, curriculum planning, research supervision, faculty responsibilities, accreditation"
Power Systems Engineer,Electrical & Electronics Engineering,Electrical Power Engineer|Grid Engineer,"Design and analyse power generation, transmission, and distribution systems for utilities, industry, and renewable energy projects.","power systems, protection relays, scada, load flow analysis, switchgear, substation design, etap, power quality",btech electrical|be electrical|mtech power systems,0,12,"power grid, energy systems, substation design, protection systems, renewable integration"
VLSI Design Engineer,Electrical & Electronics Engineering,Chip Design Engineer|RTL Design Engineer,"Design digital circuits at RTL level, perform synthesis, timing closure, and contribute to ASIC or FPGA tape-out processes.","verilog, vhdl, rtl design, synthesis, timing analysis, dft, asic, fpga, cadence, synopsys",btech electronics|mtech vlsi|be electronics|mtech microelectronics,0,12,"chip design, rtl coding, vlsi architecture, semiconductor, hardware design"
IoT Engineer,Electrical & Electronics Engineering,Connected Devices Engineer|IoT Solutions Engineer,"Design and implement IoT solutions connecting embedded devices, sensors, and cloud platforms for smart applications.","iot protocols, mqtt, embedded c, microcontrollers, raspberry pi, arduino, cloud iot, sensors, wireless communication, firmware",btech electronics|btech computer science|be embedded systems|mtech,0,12,"iot solutions, connected devices, sensor networks, smart systems, edge computing"
Instrumentation Engineer,Electrical & Electronics Engineering,Process Instrumentation Engineer|Control and Instrumentation Engineer,"Design, install, and maintain measurement and control systems for industrial processes in oil, gas, and manufacturing plants.","pid control, plc, scada, sensors, transmitters, calibration, dcs, process control, p&id, field instruments",btech instrumentation|be electronics|btech electrical|mtech,0,12,"process automation, instrumentation, control systems, industrial automation, plant operations"
HR Analytics Specialist,Human Resources,People Analytics Specialist|Workforce Analytics Analyst,"Leverage HR data to generate insights on attrition, engagement, and workforce planning that drive talent strategy.","excel, python, hr metrics, attrition analysis, workforce planning, people analytics, tableau, sql, survey analysis",mba hr|pgdm|bsc statistics|ma hr,1,10,"people analytics, hr data, workforce planning, employee engagement metrics, talent analytics"
Diversity and Inclusion Specialist,Human Resources,DEI Specialist|D&I Program Manager,"Design and implement DEI initiatives, build equitable hiring practices, and foster an inclusive workplace culture.","dei programs, policy development, bias training, culture building, data analysis, stakeholder engagement, communication",mba hr|ma sociology|pgdm|psychology,2,12,"diversity equity inclusion, organizational culture, belonging, inclusive hiring, culture change"
Employee Relations Specialist,Human Resources,ER Specialist|Labour Relations Specialist,"Manage employee grievances, disciplinary processes, and workplace conflict while ensuring legal compliance.","labor law, grievance handling, disciplinary process, conflict resolution, policy interpretation, hr compliance, documentation",mba hr|ma ir|pgdm|llb,2,12,"employee relations, workplace harmony, labor compliance, grievance management, policy adherence"
Talent Development Manager,Human Resources,L&D Manager|Talent and OD Manager,"Build and execute talent development programmes, leadership pipelines, and organisational capability frameworks.","leadership development, succession planning, talent frameworks, coaching, l&d strategy, learning programs, performance management",mba hr|pgdm|psychology|ma education,4,15,"talent growth, leadership pipeline, career development, succession planning, organizational capability"
IT Consultant,Consulting,Technology Advisory Consultant|ERP Consultant,"Advise clients on IT strategy, digital transformation, ERP implementation, and technology-enabled process improvements.","it strategy, solution architecture, erp, stakeholder management, requirements analysis, project management, change management, documentation",btech|mba|mtech|pgdm,1,12,"it advisory, digital transformation, enterprise systems, technology strategy, process optimization"
Financial Advisory Analyst,Consulting,Deal Advisory Analyst|Transaction Services Analyst,"Support financial due diligence, business valuation, M&A transactions, and financial restructuring for client engagements.","financial analysis, modeling, due diligence, m&a, valuation, excel, powerpoint, client management, research",mba finance|ca|cfa|bcom,0,10,"deal advisory, financial consulting, transaction services, m&a, restructuring"
HR Consultant,Consulting,People Advisory Consultant|HR Advisory Specialist,"Advise organisations on HR strategy, organisation design, compensation benchmarking, and change management.","hr strategy, job evaluation, org design, change management, hr policies, compensation benchmarking, talent advisory",mba hr|pgdm|psychology|ma hr,2,12,"hr consulting, organizational effectiveness, talent strategy, change management, hr transformation"
Technology Consultant,Consulting,Digital Transformation Consultant|Cloud Advisory Consultant,"Guide enterprises through digital transformation initiatives, cloud adoption, and technology-driven operating model changes.","digital strategy, cloud advisory, agile, solution design, vendor management, business case development, presentation",btech|mba|mtech|pgdm,2,12,"technology advisory, digital transformation, enterprise architecture, cloud strategy, tech enabled change"
Intellectual Property Lawyer,Legal,IP Counsel|Patent Attorney,"Advise on intellectual property matters including patents, trademarks, copyrights, and licensing for technology and creative industries.","ip law, trademark, copyright, patent filing, ip litigation, licensing, ip strategy, legal research",llb|llm|ba llb|btech llb,2,15,"intellectual property, patent law, ip protection, technology law, ip commercialization"
Labour Law Specialist,Legal,Employment Lawyer|IR Specialist,"Provide legal counsel on employment contracts, industrial disputes, labour codes, and workforce compliance matters.","labour law, employment law, grievance, industrial disputes, conciliation, labour codes, hr compliance, legal drafting",llb|llm|ba llb|ma industrial relations,2,15,"labour relations, employment law, industrial disputes, workforce compliance, labour regulations"
Legal Research Analyst,Legal,Legal Analyst|Regulatory Research Analyst,"Conduct in-depth legal research, analyse case law, and prepare legal briefs, memos, and regulatory summaries.","legal research, case analysis, statutory interpretation, westlaw, legal drafting, briefs, memo writing, regulatory research",llb|llm|ba llb,0,8,"legal research, case law, regulatory analysis, policy interpretation, academic legal work"
In-house Counsel,Legal,General Counsel|Corporate Counsel,"Provide comprehensive legal advisory to the organisation on contracts, corporate governance, regulatory compliance, and dispute resolution.","contract drafting, negotiation, regulatory compliance, corporate law, risk management, company law, legal advisory, dispute resolution",llb|llm|ba llb,3,15,"corporate legal, contracts, regulatory affairs, legal risk, business law advisory"
Health Data Analyst,Healthcare,Clinical Data Analyst|Healthcare Analytics Specialist,"Analyse clinical and operational healthcare data to improve patient outcomes, hospital efficiency, and public health decision-making.","sql, python, healthcare data, ehr systems, icd coding, data visualization, tableau, health metrics, epidemiology",bsc statistics|msc public health|btech|mba healthcare,0,10,"health analytics, clinical data, population health, outcomes research, hospital operations"
Hospital Operations Manager,Healthcare,Healthcare Operations Manager|Hospital Administrator,"Oversee daily hospital operations, manage resources, optimise patient flow, and ensure regulatory and quality compliance.","operations management, hospital administration, workflow optimization, budgeting, staff management, compliance, patient flow",mba healthcare|mha|pgdm|msc public health,3,15,"hospital administration, healthcare operations, patient experience, clinical workflows, quality improvement"
Clinical Research Coordinator,Healthcare,CRC|Clinical Trial Coordinator,"Coordinate clinical trials, manage patient recruitment and data collection, and ensure protocol and regulatory compliance.","clinical trials, protocol adherence, patient recruitment, data collection, gcp, regulatory submissions, irb documentation",bsc life sciences|mbbs|bpharm|msc clinical research,0,8,"clinical research, drug trials, patient safety, research protocols, evidence generation"
Telemedicine Specialist,Healthcare,Telehealth Physician|Digital Health Consultant,"Deliver virtual clinical consultations, manage digital health platforms, and improve remote patient care access and quality.","telehealth platforms, virtual consultation, clinical assessment, remote monitoring, patient communication, digital health, ehr",mbbs|msc healthcare|mba healthcare|dnb,1,12,"digital health, remote care, telehealth, virtual medicine, patient access"
